start_tc,end_tc,start_s,end_s,track_index,track_type,seg_index,material_name,display_name,basename,source_class,speed,volume,scale_x,alpha,extra_refs,material_id,start_us,duration_us
0:14.833,0:16.733,14.833,16.733,15,audio,0,Glitching Signal Glitch Futuristic Effect 2,Glitching Signal Glitch Futuristic Effect 2,8625df645137a82e2e310890f9471d82.mp3,capcut_stock,1.0,0.1822071671485901,,,speeds:speed,A0DE4C92-9FC9-422F-A31E-3DAC2F80E011,14833333,1900000
0:15.300,0:16.600,15.3,16.6,9,video,5,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,legend_hf,1.0,1.0,0.652482142857143,0.49,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,AA20AB93-A47B-4554-A89B-CB4EDDC91F60,15300000,1300000
0:16.367,0:29.667,16.367,29.667,19,audio,1,music_drama.mp3,music_drama.mp3,music_drama.mp3,staged_audio,1.0,0.15737994015216827,,,speeds:speed,2CD336A3-5EF1-475F-AD49-FAEDBF40A710,16366666,13300000
0:16.467,0:18.033,16.467,18.033,12,text,11,TODAY WE'RE FOLLOWING,TODAY WE'RE FOLLOWING,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,02E43F1A-4281-4AA8-A771-DAD7B4FF9154,16466666,1566667
0:16.933,0:18.733,16.933,18.733,11,effect,0,Spectrum Scan,Spectrum Scan,,effect,1.0,1.0,,,,1093D569-511E-46BE-8ECB-8528354F7920,16933333,1800000
0:17.433,0:20.300,17.433,20.3,9,video,6,irene_namecard.png,irene_namecard.png,irene_namecard.png,staged_kit,1.0,1.0,1.178197064989518,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,EFDC87B2-9A77-4CED-B41A-E061C68319A7,17433333,2866667
0:17.900,0:20.467,17.9,20.467,13,audio,1,Digital Device Gadget Scanning Programming Sound2,Digital Device Gadget Scanning Programming Sound2,6f3ed3a2c7e2ca773168c3140c7d06ce.mp3,capcut_stock,1.0,0.23848186433315277,,,speeds:speed | audio_fades:audio_fade,1C240FD7-DB25-467B-957F-C309E196E882,17900000,2566666
0:18.733,0:20.300,18.733,20.3,10,video,1,ivan_namecard.png,ivan_namecard.png,ivan_namecard.png,staged_kit,1.0,1.0,1.178197064989518,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,BA46BDF9-D6A0-4F69-954D-A6F80A361439,18733333,1566667
0:18.733,0:20.300,18.733,20.3,11,effect,1,Spectrum Scan,Spectrum Scan,,effect,1.0,1.0,,,,927A2421-09EB-4B93-8DE3-EAAC2083D9B5,18733333,1566667
0:20.300,0:22.100,20.3,22.1,12,text,12,IRENE GOES HARD FOR COVER,IRENE GOES HARD FOR COVER,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,74C620B6-DF77-4849-AE16-F518E17B4DBE,20300000,1800000
