start_tc,end_tc,start_s,end_s,track_index,display_name,material_name,resolved_filename,basename,source_class,media_kind,speed,volume,scale_x,alpha,extra_refs,path,material_id
0:23.733,0:26.467,23.733,26.467,1,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,hf_20260721_213451_2bc1bd7a-cd39-4d44-b256-5c9a451bd4a3.mp4,ea3fdb80913455db422891d19120fa0b.mp4,legend_hf,video,1.0,1.0,1.391809314028976,0.78,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ea3fdb80913455db422891d19120fa0b.mp4,3E382E1F-D780-4A17-ACEA-FA4DFC667855
0:26.467,0:29.433,26.467,29.433,1,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,A62E65DB-9C24-48C9-9155-AC75D9BCAB3A.PNG,67f86b77fff4127389de018616c2a7a3.PNG,legend_still,photo,1.0,1.0,1.0062893081761006,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/67f86b77fff4127389de018616c2a7a3.PNG,9549924D-D63C-4913-8343-C81C0B4E9AF4
0:29.667,1:28.233,29.667,88.233,0,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,ecf58f0535685422aff9ab6270e5acbb.png,legend_still,photo,1.0,1.0,2.2103013113002015,0.71,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ecf58f0535685422aff9ab6270e5acbb.png,AFC29CEC-2493-4BCA-8FB0-DA6847F66F64
0:30.433,0:32.933,30.433,32.933,7,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,45e88954ea5d6f076be4bc20eacc0be0.PNG,legend_still,photo,1.0,1.0,1.1279058779761906,0.63,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/45e88954ea5d6f076be4bc20eacc0be0.PNG,BB6D57F8-5B9F-477D-B320-1606C1462028
0:32.933,0:35.067,32.933,35.067,7,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,fb7a645b20ba48fc102113faa67a454f.PNG,legend_still,photo,1.0,1.0,1.0,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/fb7a645b20ba48fc102113faa67a454f.PNG,D2DB4A76-E1CA-47BC-A60C-303E9A6F3CEB
0:34.933,0:46.733,34.933,46.733,8,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,photo,1.0,1.0,1.0,0.74,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,0A100013-AF42-4093-AEC9-DFADF876D037
0:34.967,0:46.733,34.967,46.733,1,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,hf_20260722_033205_dbb4b386-0a93-4fb2-add2-4f8abbf5e02c.mp4,c318fdae2ee738658bf4e89778b36dd2.mp4,legend_hf,video,1.0,1.0,1.225640033828063,0.77,speeds:speed | transitions:Tremble Zoom | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/c318fdae2ee738658bf4e89778b36dd2.mp4,94CA5144-B298-4291-906E-0DFE58824808
0:37.667,0:46.733,37.667,46.733,9,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,photo,1.0,1.0,1.0,0.75,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,6D7DEDD3-2BE0-4065-A108-CBF3AFB84EC3
0:41.333,0:46.733,41.333,46.733,7,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,photo,1.0,1.0,1.0,0.75,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,F7868EC9-2F84-4BAD-8AB6-85C03DFAEBDD
0:44.400,0:46.733,44.4,46.733,10,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,photo,1.0,1.0,1.0,0.75,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,51A4BA46-F180-4BBD-903F-945F7F8BD516
