kind,name,display_name,resolved_filename,resolved_origin,basename,source_class,duration_s,width,height,path,id
photo,22F06DF6-E91F-4F98-9A12-B7CB1BE8A142.PNG,22F06DF6-E91F-4F98-9A12-B7CB1BE8A142.PNG,22F06DF6-E91F-4F98-9A12-B7CB1BE8A142.PNG,legend,6f1dfa623b0d6a71a04237974961955b.PNG,legend_still,10800.0,1254,1254,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/6f1dfa623b0d6a71a04237974961955b.PNG,5F8C663F-7291-4DD4-B7B1-E5DB58B57083
photo,2C03C154-F2C4-4558-9FEE-E8DA7D8D896E.PNG,2C03C154-F2C4-4558-9FEE-E8DA7D8D896E.PNG,2C03C154-F2C4-4558-9FEE-E8DA7D8D896E.PNG,legend,68b17e74c6c21502b8d8e71656a33c1a.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/68b17e74c6c21502b8d8e71656a33c1a.PNG,6212209E-276C-45E2-9E13-0A5AD40C7921
photo,irene_face.png,irene_face.png,irene_face.png,staged_refs,db09a1862bc39e52478bc83fee64b74e.png,staged_kit,10800.0,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/db09a1862bc39e52478bc83fee64b74e.png,CDF76419-3595-460B-869B-30CA9657586B
video,Talk.mp4,Talk.mp4,Talk.mp4,staged_E_cliff_door,af9ac492765103ae48d1d5445b959e13.mp4,staged_kit,5.067,1848,1120,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/af9ac492765103ae48d1d5445b959e13.mp4,58DE97C2-C0E0-485D-80A4-E17002EF83B9
video,Talk.mp4,Talk.mp4,Talk.mp4,staged_E_cliff_door,af9ac492765103ae48d1d5445b959e13.mp4,staged_kit,5.067,1848,1120,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/af9ac492765103ae48d1d5445b959e13.mp4,47F43490-46DB-41BB-B91B-D5A8A9576F87
photo,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,legend,18a30480a58063d6b9f1b2536538a87d.PNG,legend_still,10800.0,942,1672,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/18a30480a58063d6b9f1b2536538a87d.PNG,CB8B706E-FD58-491E-94DA-4EA4FA76D49A
photo,A9AF9451-8517-4889-8FCE-B225B77A95FC.PNG,A9AF9451-8517-4889-8FCE-B225B77A95FC.PNG,A9AF9451-8517-4889-8FCE-B225B77A95FC.PNG,legend,2c61bee1e03d950d1f9a1c78659585af.PNG,legend_still,10800.0,942,1672,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/2c61bee1e03d950d1f9a1c78659585af.PNG,566600CE-13CB-4C57-B000-3BC558B57755
photo,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,A6FEF219-C756-4B3D-B0B1-A19F7A436019.PNG,legend,3ef077c5b920e52972392e39b6515748.PNG,legend_still,10800.0,1536,1024,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/3ef077c5b920e52972392e39b6515748.PNG,1AA2EE86-7A37-45E2-91C1-8BCDF1C3A979
photo,group_photo.png,group_photo.png,group_photo.png,staged_B_stake,bf4eb6df4b4ac56aae3fede177f3378f.png,staged_kit,10800.0,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/bf4eb6df4b4ac56aae3fede177f3378f.png,8D466AAD-61ED-4C18-861D-E54EBA5A5AE2
video,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,hf_20260721_180849_1bca4562-8648-4f59-9057-639cf31ae7aa.mp4,legend,f5a6fcee151fcb2af3a7811c10a9ff5d.mp4,legend_hf,4.067,720,1280,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f5a6fcee151fcb2af3a7811c10a9ff5d.mp4,4D30EC99-467A-4603-B3E7-505496F83473
video,signature_flyover.mp4,signature_flyover.mp4,signature_flyover.mp4,staged_F_phaser,2406c2e2063ede312de176b41ab0a861.mp4,staged_phaser,10.067,1264,720,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/2406c2e2063ede312de176b41ab0a861.mp4,919A111D-E97C-495A-AD29-F7CCDB151EDD
video,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,legend,3cee6f8169fbf8d59e33dfe607ced261.MP4,legend_hf,3.067,1080,1920,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/3cee6f8169fbf8d59e33dfe607ced261.MP4,63F200C0-904C-4B08-BBDD-640DB06C5B73
photo,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,legend,5ad60df93cd9fdd4f81ecdc0d1357a12.PNG,legend_still,10800.0,1024,1538,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/5ad60df93cd9fdd4f81ecdc0d1357a12.PNG,EEF8B340-5FDE-42EA-BD64-05985F54C49A
photo,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,B604EDFB-6058-4236-BB11-8368131FD45A.PNG,legend,45e88954ea5d6f076be4bc20eacc0be0.PNG,legend_still,10800.0,942,1672,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/45e88954ea5d6f076be4bc20eacc0be0.PNG,BB6D57F8-5B9F-477D-B320-1606C1462028
photo,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,9290B06D-5B1B-4F0C-9EF2-C20BBE2E1D33.PNG,legend,fb7a645b20ba48fc102113faa67a454f.PNG,legend_still,10800.0,1122,1402,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/fb7a645b20ba48fc102113faa67a454f.PNG,D2DB4A76-E1CA-47BC-A60C-303E9A6F3CEB
photo,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,F7868EC9-2F84-4BAD-8AB6-85C03DFAEBDD
photo,8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,8A0C4969-AA3E-467D-A5F6-9629E2DABF3C.PNG,legend,0519b15d86cbbe1973de2343de748683.PNG,legend_still,10800.0,1536,1024,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/0519b15d86cbbe1973de2343de748683.PNG,8B974084-9C8F-4C4F-8F5A-4F42D30643B6
photo,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,D7AF15A5-3171-428E-9408-6135AA533103.PNG,legend,18a30480a58063d6b9f1b2536538a87d.PNG,legend_still,10800.0,942,1672,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/18a30480a58063d6b9f1b2536538a87d.PNG,B47ECE60-8299-4F07-9215-5D586BA67708
photo,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,C30B9252-9BC7-4BCF-8B25-E2252BEC5865.PNG,legend,74df3b4adfdd3a4b5022a580cb2a592d.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/74df3b4adfdd3a4b5022a580cb2a592d.PNG,0A100013-AF42-4093-AEC9-DFADF876D037
photo,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,F3EE7A0F-9754-4C2C-A19E-ABB85F901033.PNG,legend,313d1aa5da3df5e2d173d103bd312da9.PNG,legend_still,10800.0,1536,1024,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/313d1aa5da3df5e2d173d103bd312da9.PNG,DBBEB713-4E22-40F4-B82E-9F4B8B5FE272
photo,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,81812E74-D0C7-4122-B014-A03C89E83C29.PNG,legend,894deae6a31a2faec9981d0a30f4347e.PNG,legend_still,10800.0,1536,1024,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/894deae6a31a2faec9981d0a30f4347e.PNG,3ADAA3C6-F6BF-439A-AE6B-D29FDEF9CCAB
photo,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,legend,4d59ef143534d300d520538a6c06d933.PNG,legend_still,10800.0,1024,1536,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/4d59ef143534d300d520538a6c06d933.PNG,5BF97391-3105-4679-A3DF-82E548C68ED4
